,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
0,BU03850001,3850001,Edam-Oude kom,Edam-Volendam,Buurt,BU03850001,1,2730,1320,1410,290,290,465,860,825,1130,1190,240,165,2255,170,305,2250,95,145,80,160,,,,,1350,500,470,370,2,4523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1050,290,1,2222.0,95,,,,,,71,60,10,1135,1,3,1152,True,False
1,BU03850002,3850002,Edam-Industriegebied,Edam-Volendam,Buurt,BU03850002,1,275,135,135,35,45,45,90,65,145,110,15,5,225,25,20,225,15,5,10,15,,,,,120,40,35,50,"2,3",518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,135,80,"1,8",414.0,25,,,,,,55,53,3,1135,1,4,659,False,False
2,BU03850003,3850003,Edam-Zuid,Edam-Volendam,Buurt,BU03850003,1,1320,610,710,250,150,265,300,360,555,620,70,75,1035,220,70,1035,30,30,185,40,,,,,530,115,180,235,"2,5",3710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,415,100,1,1452.0,55,,,,,,38,36,2,1135,1,3,1454,False,False
3,BU03850004,3850004,Edam-Singelwijk,Edam-Volendam,Buurt,BU03850004,1,1750,845,900,250,230,305,475,480,775,675,175,120,1130,85,535,1135,40,210,40,325,,,,,775,300,225,255,"2,3",6123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,600,125,"0,9",2544.0,50,,,,,,29,29,0,1135,1,2,1635,False,True
4,BU03850005,3850005,Edam-Molenbuurt,Edam-Volendam,Buurt,BU03850005,1,935,485,455,115,150,180,325,165,465,375,75,25,785,35,120,780,20,55,15,70,,,,,420,150,115,155,"2,2",2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,320,105,1,1070.0,35,,,,,,46,40,6,1135,1,2,1696,False,True
5,BU03850006,3850006,Zeevangpolder,Edam-Volendam,Buurt,BU03850006,1,20,10,5,5,5,5,5,5,10,10,5,0,15,0,0,15,0,0,0,0,,,,,5,5,5,0,"2,4",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,135,131,5,1135,1,4,527,False,False
6,BU03850007,3850007,Broeckgouw,Edam-Volendam,Buurt,BU03850007,1,305,155,155,115,20,115,55,5,205,95,10,5,235,10,60,235,10,40,5,20,,,,,95,10,15,75,"3,2",1167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,85,20,"1,1",397.0,5,,,,,,29,26,3,1135,1,3,1388,False,False
7,BU03850008,3850008,Lange Weeren,Edam-Volendam,Buurt,BU03850008,1,15,10,5,0,5,5,0,5,5,0,0,0,10,0,0,10,0,0,0,0,,,,,5,5,0,0,"2,4",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,0,,,,,,96,90,6,1135,2,4,593,False,False
8,BU03850101,3850101,Purmerpolder,Edam-Volendam,Buurt,BU03850101,1,110,65,45,10,25,10,45,25,55,55,5,5,105,5,0,105,5,0,5,0,,,,,40,10,10,20,"2,7",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,55,20,,,10,,,,,,638,624,14,1481,1,5,131,False,False
9,BU03850201,3850201,Volendam-Oude kom,Edam-Volendam,Buurt,BU03850201,1,3275,1610,1665,330,340,765,920,930,1460,1260,285,275,3045,115,120,3040,50,45,65,80,,,,,1675,765,475,435,"1,9",4807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1010,275,"0,8",1884.0,55,,,,,,68,68,0,1131,1,3,1483,True,True
10,BU03850202,3850202,Volendam-Katham + Planetenbuurt,Edam-Volendam,Buurt,BU03850202,1,2070,1025,1050,280,135,475,370,815,760,1030,110,160,1895,55,120,1900,30,40,25,80,,,,,1000,335,415,250,"2,1",3878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,645,140,"0,8",1472.0,25,,,,,,55,53,1,1131,1,2,2065,False,True
